Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills,,,
AI/ML Engineer,Fresher,Entry-Level,0,0,Python; NumPy; Pandas; Scikit-learn; Supervised Learning; Unsupervised Learning; Model Evaluation Metrics; Feature Engineering (Basic); Data Preprocessing; SQL; TensorFlow (Basic); PyTorch (Basic); Deep Learning Fundamentals; Neural Networks; Git,,,
AI/ML Engineer,Experienced,Mid-Level,3,3,Python; SQL; Scikit-learn; TensorFlow; PyTorch; Deep Learning; Computer Vision; Natural Language Processing (NLP); Transfer Learning; Feature Engineering; Data Pipelines; ETL Processes; Model Deployment; REST APIs for ML; Docker; CI/CD for ML; MLOps; Model Monitoring; AWS; Apache Spark; ONNX; Experiment Tracking,,,
AR/VR Developer,Fresher,Entry-Level,0-1,0,Unity; Unreal Engine; C#; C++; 3D Modeling Fundamentals; Blender; Maya; ARCore; ARKit; Spatial Computing Concepts; Basic Motion Tracking; UI/UX Fundamentals; JavaScript; Problem-Solving; Teamwork; Communication; Creativity,,,
AR/VR Developer,Experienced,Mid-Level,3+,3,Unity; Unreal Engine; C#; C++; Advanced 3D Modeling and Animation; ARCore; ARKit; Vuforia; Cross-Platform Development; Spatial Computing; Gesture and Motion Tracking; Performance Optimization; Hardware Integration; UI/UX Design; JavaScript; Python; Shader Programming; Collaboration; Leadership,,,
AR/VR Developer,Experienced,Senior-Level,5+,5,Unity; Unreal Engine; C#; C++; Advanced 3D Graphics and Rendering; 3D Modeling and Animation; ARCore; ARKit; Vuforia; Cross-Platform Architecture; Scalable AR/VR Systems; Spatial Computing; Advanced Gesture and Motion Tracking; Rendering Optimization; Performance Tuning; Hardware Integration; Shader Development; Real-Time Systems Design; Machine Learning Integration for AR/VR; Project Management; Team Leadership; UI/UX Strategy; System Architecture,,,
Android Architect,Experienced,Senior-Level,5+ years,5,Kotlin; Java; Android SDK; Android Studio; Jetpack Architecture Components; MVVM; MVI; Clean Architecture; Multi-Module Architecture; Scalable App Architecture; Dependency Injection (Dagger/Hilt); Coroutines; Flow; Room; Firebase; RESTful APIs; CI/CD; Automated Testing; Unit Testing; Instrumentation Testing; Performance Optimization; Memory Management; App Security; Offline-First Architecture; Modularization; System Design; Technical Leadership,,,
Android Developer,Fresher,Entry-Level,0,0,Kotlin; Java; Android SDK; Android Studio; XML; Jetpack Components; MVVM; Material Design; REST APIs; Room; SQLite; Firebase; Git; Unit Testing; UI/UX Fundamentals,,,
Android Developer,Experienced,Mid-Level,3-4 years,3,Kotlin; Java; Android SDK; Android Studio; Jetpack Components; MVVM; Clean Architecture; Dependency Injection (Dagger/Hilt); Coroutines; Flow; REST APIs; Room; Firebase; Unit Testing; Instrumentation Testing; CI/CD; Performance Optimization; Modularization; Git,,,
Android Developer,Experienced,Senior-Level,5+ years,5,Kotlin; Java; Android SDK; Android Studio; Jetpack Architecture Components; MVVM/MVI; Clean Architecture; Multi-Module Architecture; Dependency Injection (Dagger/Hilt); Coroutines; Flow; RESTful API Integration; Room Firebase; CI/CD; Automated Testing; Performance Optimization; Memory Management; App Security; Modularization; System Design; Code Review; Technical Mentorship,,,
Android Solutions Architect,Experienced,Senior-Level,5+ years,5,Kotlin; Java; Android SDK; Android Studio; Jetpack Architecture Components; Clean Architecture; Multi-Module Architecture; MVVM/MVI; Dependency Injection (Dagger/Hilt); Coroutines; RESTful APIs; System Design; Scalable Mobile Architecture; API Integration; CI/CD; Cloud Integration (AWS/Firebase); Performance Optimization; App Security; Modularization; Automated Testing; Technical Leadership,,,
Android Solutions Engineer,Fresher,Entry-Level,1,1,Kotlin; Java; Android SDK; Android Studio; XML; Jetpack Components; MVVM; REST APIs; SQLite; Firebase; Git; Material Design; UI/UX Fundamentals; Unit Testing,,,
Android Solutions Engineer,Experienced,Senior-Level,6,6,Kotlin; Java; Android SDK; Android Studio; Jetpack Architecture Components; Clean Architecture; MVVM/MVI; Dependency Injection (Dagger/Hilt); Coroutines; RESTful APIs; Room; Firebase; CI/CD; Automated Testing; Performance Optimization; System Design; API Architecture; Cloud Integration; Technical Leadership,,,
Android Solutions Engineer,Experienced,Mid-Level,3-5 years,3,Kotlin; Java; Android SDK; Android Studio; Jetpack Components; MVVM; Clean Architecture; REST APIs; Room; Firebase; Dependency Injection (Dagger/Hilt); Coroutines; CI/CD; Unit Testing; Performance Optimization; API Integration; Git,,,
Associate Cloud Architect,Fresher,Entry-Level,0-1,0,AWS; Azure; Cloud Computing Fundamentals; Linux Administration; Docker; Virtualization; Cloud Networking; Cloud Databases; Infrastructure as Code (Basic); Git,,,
Automation Specialist,Fresher,Entry-Level,1,1,Python; Bash; Linux; Git; Shell Scripting; Automation Scripting; CI/CD Basics; Docker; Basic Networking; Problem Solving,,,
Automation Specialist,Experienced,Mid-Level,04-Jun,4,Python; Bash; Linux; Ansible; VMware; Shell Scripting; Infrastructure Automation; CI/CD; Docker; System Monitoring; Git; Performance Troubleshooting,,,
Automation Specialist,Experienced,Senior-Level,6,6,Python; Bash; Linux; Ansible; VMPython; Bash; Linux; Ansible; Infrastructure as Code; CI/CD Architecture; Kubernetes; Docker; VMware; Cloud Automation (AWS/Azure); System Architecture; Performance Optimization; Monitoring and Logging; Technical Leadershipware; Shell Scripting; Infrastructure Automation; CI/CD; Docker; System Monitoring; Git; Performance Troubleshooting,,,
BI Analyst,Entry-Level,Entry-Level,0–1 year,0,SQL; Excel; Power BI; Tableau; Data Analysis; Data Visualization; Statistics; Business Metrics; KPI Tracking; ETL Fundamentals; MySQL; PostgreSQL; Dashboard Development,,,
BI Analyst,Senior-Level,Mid-Level,4–8 years,4,SQL; Advanced Excel; Power BI; Tableau; Looker; Data Modeling; ETL Pipelines; Data Warehousing; KPI Development; Forecasting; Data Visualization; Business Intelligence; Redshift; Snowflake; Statistical Analysis,,,
BI Analyst,Senior-Level,Senior-Level,5–9 years,5,SQL; SQL Optimization; Data Modeling; Advanced BI Modeling; ETL Pipeline Design; Data Integration; Data Warehousing; Power BI; Tableau; Looker; Predictive Analytics; Forecasting; KPI Strategy; KPI Monitoring; Redshift; Snowflake; Data Governance; Business Intelligence Strategy,,,
Backend Developer,Fresher,Entry-Level,0–1 year,0,Python; Java; Node.js; Django; Flask; Express.js; REST APIs; SQL; MySQL; PostgreSQL; MongoDB; Redis; Git; Docker; CI/CD Basics; Cloud Fundamentals; Agile,,,
Backend Developer,Experienced,Mid-Level,3–5 years,3,Python; Java; Node.js; Go; Django; Flask; Express.js; Spring Boot; REST APIs; GraphQL; SQL; MySQL; PostgreSQL; MongoDB; Redis; Microservices; Docker; Kubernetes; AWS; Azure; CI/CD; Git; Agile; gRPC,,,
Backend Developer,Experienced,Senior-Level,5+ years,5,Python; Java; Go; Node.js; Spring Boot; Django; Flask; Express.js; REST APIs; GraphQL; gRPC; Microservices Architecture; SQL; MySQL; PostgreSQL; MongoDB; Redis; Docker; Kubernetes; AWS; Azure; GCP; CI/CD; System Design; API Security; Performance Optimization; Git; Agile,,,
Big Data Engineer,Fresher,Entry-Level,0-1,0,Python; Java; Scala; SQL; Apache Spark; Hadoop; ETL; Apache NiFi; Talend; Linux; NoSQL; MongoDB; HBase; Data Processing; Git; Analytical Thinking,,,
Big Data Engineer,Experienced,Mid-Level,3+,3,Python; Java; Scala; SQL; Apache Spark; Hadoop; Kafka; Spark Streaming; Apache Flink; ETL Pipelines; Data Warehousing; AWS; Azure; GCP; BigQuery; Redshift; Snowflake; Data Governance; MLlib; Docker; Linux,,,
Big Data Engineer,Experienced,Senior-Level,5+,5,Python; Java; Scala; SQL; Apache Spark; Hadoop; Kafka; Spark Streaming; Apache Flink; Distributed Data Systems; Data Pipeline Architecture; ETL Architecture; Data Governance; AWS; Azure; GCP; BigQuery; Redshift; Snowflake; MLlib; System Design; Performance Optimization; Technical Leadership,,,
Blockchain Developer,Fresher,Entry-Level,0-1,0,Solidity; Ethereum; Smart Contracts; DApps; Cryptography; Truffle; Remix IDE; Hyperledger; Corda; Python; Java; C++; Git; Web3.js; Blockchain Fundamentals,,,
Blockchain Developer,Experienced,Mid-Level,3+,3,Solidity; Ethereum; Smart Contracts; DApps; Web3.js; Cryptography; Hyperledger Fabric; Corda; Truffle; Hardhat; Python; Java; Rust; Git; Gas Optimization; Smart Contract Security; Cross-Chain Development; Cloud Integration,,,
Blockchain Developer,Experienced,Senior-Level,5+,5,Solidity; Ethereum; Smart Contracts; DApp Architecture; Cryptography; Hyperledger Fabric; Corda; Rust; Python; Web3.js; Cross-Chain Architecture; Smart Contract Security Audits; Gas Optimization; Blockchain Scalability; Distributed Systems; Cloud Integration; System Design; Technical Leadership,,,
Business Analyst,Fresher,Entry-Level,0-1,0,Data Analysis; Excel; SQL; Power BI; Tableau; Business Process Mapping; Requirement Gathering; Documentation; Agile Methodologies; Data Interpretation; Data Visualization; Stakeholder Communication,,,
Business Analyst,Experienced,Mid-Level,3 years,3,Data Analysis; Advanced Excel; SQL; Power BI; Tableau; Business Intelligence; Business Process Modeling; Requirement Elicitation; Stakeholder Management; Agile Methodologies; Data Visualization; Process Optimization; Reporting and Dashboards,,,
Business Analyst,Experienced,Senior-Level,05-Aug,5,Advanced Data Analysis; Advanced SQL; Business Intelligence; Data Visualization; Power BI; Tableau; Business Process Optimization; Requirement Management; Stakeholder Engagement; Agile Leadership; Strategic Planning; Predictive Analytics; Reporting Strategy,,,
Cloud Architect,Fresher,Entry-Level,0,0,AWS; Azure; GCP; Linux; Bash Scripting; Python; Docker; Kubernetes; Cloud Networking Fundamentals; Cloud Security Fundamentals; Git; Infrastructure as Code Fundamentals,,,
Cloud Architect,Experienced,Mid-Level,3,3,AWS; Azure; GCP; Terraform; CloudFormation; Kubernetes; Docker; Infrastructure as Code; CI/CD; Cloud Networking; Cloud Security; Python; Bash; DevOps Automation; Monitoring and Logging; Serverless Computing,,,
Cloud Architect,Experienced,Senior-Level,7,6,AWS; Azure; GCP; Multi-Cloud Architecture; Hybrid Cloud Architecture; Kubernetes; Terraform; CloudFormation; Infrastructure as Code; CI/CD; Cloud Networking Architecture; Cloud Security Architecture; Serverless Architecture; DevOps Automation; Python; SDN; Performance Optimization; System Design; Technical Leadership,,,
Cloud Automation Engineer,Fresher,Entry-Level,1,1,Python; Bash; Linux; Git; Docker; AWS; Infrastructure as Code; Terraform; CI/CD Basics; Cloud Fundamentals,,,
Cloud Automation Engineer,Experienced,Mid-Level,4,4,Python; Bash; AWS; Terraform; CloudFormation; Ansible; Kubernetes; Docker; CI/CD; Infrastructure as Code; Monitoring and Logging; Linux; Git,,,
Cloud Automation Engineer,Experienced,Senior-Level,5,5,Python; AWS; Terraform; CloudFormation; Ansible; Kubernetes; Infrastructure as Code; CI/CD; DevOps Automation; Cloud Security; Monitoring and Observability; Performance Optimization; System Design; Technical Leadership,,,
Cloud Cost Optimization Architect,Experienced,Senior-Level,7,7,AWS; Azure; GCP; Cloud Cost Management; FinOps; Cost Optimization Strategies; Cloud Billing Analysis; Terraform; Python; Infrastructure as Code; Cloud Governance; Resource Optimization; Cost Monitoring Tools; Budget Forecasting; Cloud Architecture,,,
Cloud Engineer,Fresher,Entry-Level,0-1,0,AWS; Azure; GCP; Linux; Bash; Python; Git; Docker; Kubernetes; Terraform; Cloud Networking; Cloud Storage; IAM; VPC; Monitoring; CI/CD Basics,,,
Cloud Engineer,Experienced,Mid-Level,3,3,AWS; Azure; GCP; Terraform; CloudFormation; Kubernetes; Docker; Ansible; CI/CD; Jenkins; GitLab CI; Helm; Python; Bash; PowerShell; Cloud Security; VPC Networking; Monitoring and Logging; Prometheus; ELK Stack; SQL; NoSQL,,,
Cloud Engineer,Senior-Level,Senior-Level,5–9 years,5,AWS; Azure; GCP; Terraform; CloudFormation; Kubernetes; Docker; Ansible; Helm; CI/CD; Jenkins; GitLab CI; Infrastructure as Code; Cloud Security; Cloud Networking Architecture; Monitoring and Observability; Prometheus; ELK Stack; Python; Bash; PowerShell; SQL; NoSQL; System Design; Performance Optimization,,,
Cloud Infrastructure Security Architect,Experienced,Senior-Level,9,9,AWS; Azure; GCP; Cloud Security Architecture; IAM; Encryption; Kubernetes Security; Terraform; Infrastructure as Code; Cloud Compliance; Security Governance; Network Security; DevSecOps; Security Monitoring; Risk Management; Cloud Architecture,,,
Cloud Migration Specialist,Fresher,Entry-Level,1,1,AWS; Azure; GCP; Linux; Python; Bash; Cloud Migration Fundamentals; Database Migration; Networking Fundamentals; Docker; Git,,,
Cloud Migration Specialist,Experienced,Mid-Level,4,4,AWS; Azure; GCP; Cloud Migration; Database Migration; Terraform; Python; Infrastructure as Code; Docker; Kubernetes; CI/CD; Cloud Networking; Monitoring and Logging,,,
Cloud Migration Specialist,Experienced,Senior-Level,6+,6,AWS; Azure; GCP; Cloud Migration Architecture; Database Migration; Infrastructure as Code; Terraform; Kubernetes; Cloud Networking Architecture; DevOps Automation; Monitoring and Observability; Cloud Security; System Design; Performance Optimization; Technical Leadership,,,
Cloud Network Engineer,Fresher,Entry-Level,0-1,1,AWS; Azure; GCP; TCP/IP; DNS; VPC; Subnetting; Load Balancers; VPN; Linux; Bash; Python; Git; Network Monitoring,,,
Cloud Network Engineer,Experienced,Mid-Level,03-May,3,AWS Networking; Azure Networking; VPC Architecture; Load Balancers; VPN; DNS; Network Security Groups; Terraform; Ansible; Python; Kubernetes Networking; Monitoring and Logging; CI/CD,,,
Cloud Network Engineer,Experienced,Senior-Level,06-Jan,6,AWS Networking; Azure Networking; GCP Networking; VPC Architecture; Hybrid Cloud Networking; Load Balancers; VPN; DNS; Network Security; Infrastructure as Code; Terraform; Ansible; Kubernetes Networking; Monitoring and Observability; System Design; Performance Optimization,,,
Cloud Security Analyst,Fresher,Entry-Level,01-Jan,1,AWS Security; Azure Security; GCP Security; IAM; Network Security; Firewall Management; SIEM Tools; Incident Response; Vulnerability Assessment; Security Monitoring,,,
Cloud Security Analyst,Experienced,Mid-Level,04-Jul,4,AWS Security; Azure Security; GCP Security; IAM; Firewall Management; SIEM Tools; Incident Response; Vulnerability Management; Cloud Security Monitoring; Compliance Standards; Threat Detection; Security Automation,,,
Cloud Security Analyst,Experienced,Senior-Level,6,6,AWS Security; Azure Security; GCP Security; Cloud Security Architecture; IAM; Network Security; SIEM Tools; Incident Response; Vulnerability Management; Security Automation; Compliance Frameworks; Threat Intelligence; Risk Management,,,
Cloud Security Architect,Experienced,Senior-Level,6,6,AWS; Azure; GCP; Cloud Security Architecture; IAM; Encryption; Network Security; Compliance Frameworks; DevSecOps; Kubernetes Security; Terraform; Security Monitoring; Risk Management; Python,,,
Cloud Solutions Architect,Experienced,Senior-Level,10,10,AWS; Azure; GCP; Multi-Cloud Architecture; Cloud Architecture Design; Microservices Architecture; Serverless Architecture; Cloud Networking; Terraform; Infrastructure as Code; Kubernetes; DevOps Practices; Cloud Cost Optimization; Security Architecture; System Design; Stakeholder Management,,,
Cloud Solutions Associate,Fresher,Entry-Level,0-1,0,AWS; Azure; GCP; Linux Administration; Networking Fundamentals; Cloud Storage; Docker; Terraform; Git; Java; Python,,,
Content Writer,Fresher,Entry-Level,0-2,0,Content Writing; Editing and Proofreading; Grammar and Punctuation; Blog Writing; Content Research; SEO Fundamentals; Keyword Usage; WordPress; CMS; AI Content Tools; Social Media Content; Digital Marketing Basics; Time Management; Collaboration,,,
Content Writer,Mid-Level,Mid-Level,03-May,3,Content Writing; Editing and Proofreading; Content Optimization; SEO; Keyword Research; Content Strategy; CMS; WordPress; AI Content Tools; Digital Marketing; Google Analytics; SEMrush; Multi-Format Content Creation; Content Research; Collaboration; Time Management,,,
Content Writer,Experienced,Senior-Level,05-Aug,5,Content Strategy; SEO Strategy; Keyword Optimization; Content Marketing; Brand Voice Management; Content Calendar Management; Digital Marketing Strategy; Google Analytics; SEMrush; HubSpot; Performance Tracking; KPI Analysis; AI Content Tools; Multi-Format Content Creation; Project Management; Team Leadership,,,
Copywriter,Fresher,Entry-Level,0-1,0,Copywriting; Persuasive Writing; Storytelling; Editing and Proofreading; Grammar and Punctuation; Content Research; SEO Fundamentals; Keyword Usage; Brand Voice Awareness; AI Writing Tools; WordPress; CMS; Email Copywriting; Social Media Copywriting; Digital Marketing Basics; Time Management; Collaboration,,,
Copywriter,Mid-Level,Mid-Level,03-May,3,Copywriting; Persuasive Writing; Storytelling; Brand Voice Management; Editing and Proofreading; Content Research; SEO; Keyword Optimization; Digital Marketing; Email Marketing Copy; Social Media Copywriting; CMS; AI Writing Tools; Google Analytics; Content Optimization; Collaboration; Time Management,,,
Copywriter,Experienced,Senior-Level,05-Aug,5,Strategic Copywriting; Brand Messaging Strategy; Content Strategy; SEO Strategy; Keyword Optimization; Digital Marketing Strategy; AI Writing Tools; Google Analytics; Performance Tracking; KPI Analysis; Campaign Copywriting; Multi-Channel Copywriting; Editing and Proofreading; Project Management; Team Leadership,,,
Cyber Defense Analyst,Fresher,Entry-Level,01-Jan,1,SIEM Tools; SOC Operations; Network Security; Firewall Management; Threat Detection; Incident Response; Malware Analysis; Vulnerability Assessment; Log Analysis; Security Monitoring,,,
Cyber Defense Analyst,Experienced,Mid-Level,04-Aug,4,SIEM Tools; SOC Operations; Threat Hunting; Incident Response; Malware Analysis; Firewall Management; Network Security; Vulnerability Management; Log Analysis; Compliance Auditing,,,
Cyber Defense Analyst,Experienced,Senior-Level,6,6,SIEM Tools; Threat Hunting; Incident Response; Malware Analysis; Security Operations; Network Security; Vulnerability Management; Compliance Frameworks; Threat Intelligence; Security Automation; Risk Management,,,
Cybersecurity Analyst,Fresher,Entry-Level,0-1,0,Network Security; Firewall Management; Encryption; Incident Response; Vulnerability Assessment; SIEM Tools; Splunk; Wireshark; Nessus; Snort; Metasploit; Linux; Python; Antivirus Tools,,,
Cybersecurity Analyst,Experienced,Mid-Level,03-May,3,Incident Response; Threat Hunting; Vulnerability Management; SIEM Tools; Splunk; QRadar; LogRhythm; Cloud Security; Risk Management; Compliance Standards; Python; Bash; PowerShell,,,
Cybersecurity Analyst,Experienced,Senior-Level,05-Jul,5,Advanced Threat Detection; Threat Hunting; SIEM Architecture; Incident Response; Risk Management; Compliance Frameworks; Cloud Security; Security Automation; Splunk; Threat Intelligence; Security Governance; Team Leadership,,,
Cybersecurity Risk Analyst,Fresher,Entry-Level,01-Jan,1,Risk Assessment; Compliance Frameworks; Security Policies; Vulnerability Assessment; Security Auditing; Network Security Basics; Python; PowerShell; SIEM Tools; Security Documentation,,,
Cybersecurity Risk Analyst,Experienced,Mid-Level,03-Jun,3,Risk Management; Compliance Auditing; Security Governance; Vulnerability Management; SIEM Tools; Splunk; Python; PowerShell; Security Monitoring; Incident Analysis; Risk Reporting,,,
Cybersecurity Risk Analyst,Experienced,Senior-Level,6,6,Risk Management; Security Governance; Compliance Frameworks; Risk Assessment; Security Auditing; Threat Intelligence; Security Strategy; SIEM Architecture; Splunk; Security Automation; Stakeholder Management; Leadership,,,
Cybersecurity Support Analyst,Fresher,Entry-Level,0-1,0,Cryptography; Firewall Management; ISO 27001; Network Security; Wireshark; SIEM Tools; Incident Response; Vulnerability Assessment; Linux; Teamwork,,,
Data Analyst,Entry-Level,Entry-Level,0–1 year,0,SQL; Excel; Python; R; Pandas; Matplotlib; Seaborn; Power BI; Tableau; Statistics; Hypothesis Testing; Regression Analysis; MySQL; PostgreSQL,,,
Data Analyst,Experienced,Mid-Level,4–8 years,4,SQL; Advanced SQL; Python; R; Power BI; Tableau; ETL; Data Visualization; A/B Testing; Predictive Modeling; Time Series Analysis; BigQuery; Redshift; Snowflake; Looker,,,
Data Analyst,Experienced,Senior-Level,5–9 years,5,Advanced SQL; Data Warehousing; ETL; Data Engineering; Predictive Modeling; Statistical Modeling; Time Series Forecasting; Python; R; Power BI; Tableau; BigQuery; Redshift; Snowflake; Spark; Machine Learning; Data Governance,,,
Data Engineer,Fresher,Entry-Level,0-1,0,Python; SQL; Java; Scala; Apache Spark; Apache Airflow; ETL; Data Modeling; Hadoop; Kafka; AWS; AWS S3; GCP BigQuery; MongoDB; MySQL; PostgreSQL; Linux,,,
Data Engineer,Experienced,Mid-Level,03-Apr,3,Python; SQL; Java; Scala; Apache Spark; Apache Kafka; Apache Airflow; Databricks; Flink; ETL Pipelines; Data Modeling; Hadoop; AWS Glue; AWS Redshift; Azure Data Lake; Azure Synapse; GCP BigQuery; Snowflake,,,
Data Engineer,Experienced,Senior-Level,5+,5,Python; SQL; Scala; Apache Spark; Apache Kafka; Apache Airflow; ETL Architecture; Data Modeling; Data Governance; Hadoop; AWS EMR; AWS Glue; BigQuery; Snowflake; Data Warehousing; Distributed Data Systems,,,
Data Science Associate,Fresher,Entry-Level,0-1,0,Python; SQL; R; Pandas; NumPy; Scikit-learn; Matplotlib; Seaborn; Data Cleaning; Data Preprocessing; Exploratory Data Analysis (EDA); Machine Learning; Statistical Analysis; MySQL; PostgreSQL,,,
Data Scientist,Fresher,Entry-Level,0-1,0,Python; R; SQL; Pandas; NumPy; Matplotlib; Seaborn; Machine Learning; Regression; Classification; Clustering; Decision Trees; Logistic Regression; Data Cleaning; Data Preprocessing; Data Wrangling; Excel; MySQL; PostgreSQL; MongoDB,,,
Data Scientist,Mid-Senior,Mid-Level,03-Jun,3,Python; R; SQL; Machine Learning; Deep Learning; NLP; Regression; Classification; Clustering; Ensemble Methods; Reinforcement Learning; ETL Pipelines; Spark; Hadoop; Tableau; Power BI; Java; Scala,,,
Data Scientist,Senior,Senior-Level,5+,5,Python; R; SQL; Machine Learning; Deep Learning; NLP; Predictive Modeling; Feature Engineering; Time Series Modeling; Reinforcement Learning; Spark; Hadoop; ETL Pipelines; AWS; Azure; GCP; Git; Jupyter; Tableau; Power BI,,,
DevOps Cloud Architect,Experienced,Senior-Level,5,5,AWS; Azure; GCP; CI/CD; Docker; Kubernetes; Terraform; Infrastructure as Code; Python; Bash; DevOps Automation; Cloud Architecture; Monitoring and Observability; Cloud Security; Microservices Architecture,,,
DevOps Engineer,Fresher,Entry-Level,0–1 year,0,AWS; Azure; GCP; Linux; Bash; Python; Git; GitHub; GitLab; Docker; Kubernetes; Jenkins; Terraform; Ansible; CI/CD,,,
DevOps Engineer,Experienced,Mid-Level,4–8 years,4,AWS; Azure; GCP; Terraform; Ansible; Chef; Puppet; Docker; Kubernetes; Helm; Jenkins; GitLab CI; CircleCI; Prometheus; Grafana; ELK Stack; Linux; Bash; Python; Microservices; DevSecOps,,,
DevOps Engineer,Experienced,Senior-Level,5,5,AWS; Azure; GCP; Terraform; Ansible; Kubernetes; Docker; Helm; CI/CD Architecture; Infrastructure as Code; Prometheus; Grafana; ELK Stack; DevSecOps; Microservices Architecture; Linux; Python; Bash; System Design,,,
Digital Marketing Specialist,Fresher,Entry-Level,0-1,0,Digital Marketing; Social Media Marketing; Content Creation; Copywriting; SEO; SEM; Google Ads; Facebook Ads; Email Marketing; Google Analytics; WordPress; CMS; Blogging; Lead Generation; Creativity; Communication; Team Collaboration,,,
Digital Marketing Specialist,Experienced,Mid-Level,03-May,3,Digital Marketing Strategy; SEO; SEM; PPC Campaigns; Google Ads; Facebook Ads; Marketing Analytics; Google Analytics; Tableau; CRM Tools; HubSpot; Salesforce; Marketing Automation; Email Automation; Content Marketing; Social Media Marketing; Lead Generation; Brand Management; Budget Management,,,
Digital Marketing Specialist,Experienced,Senior-Level,05-Jul,5,Digital Marketing Strategy; SEO Strategy; SEM; PPC Campaign Management; Marketing Analytics; Google Analytics; Tableau; CRM Platforms; Marketing Automation; AI Marketing Tools; Multi-Channel Campaign Management; Conversion Rate Optimization; Lead Generation Strategy; Brand Strategy; Budget and ROI Management; Content Marketing Strategy; Team Leadership,,,
Ethical Hacker,Fresher,Entry-Level,0-1,0,Penetration Testing; Vulnerability Assessment; Web Application Security; Networking; Linux; Windows Security; Python; Bash; Nmap; Burp Suite; Metasploit; Wireshark; SQLMap; Cryptography,,,
