Title,ExperienceLevel,YearsOfExperience,Skills,YearsOfExperience_Min,ExperienceLevel_Normalized
.NET Developer,Experienced,5+,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,5,Senior-Level
.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,4,Mid-Level
.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,5,Senior-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,0,Entry-Level
AI Engineer,Mid-Senior Level,3–6 years,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,3,Mid-Level
AI Engineer,Senior-Level,4–7 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,4,Mid-Level
AI Engineer,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,5,Senior-Level
AI Engineer,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,6,Senior-Level
AI Engineer,Senior-Level,5–8 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,5,Senior-Level
AI Engineer,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,5,Senior-Level
AI Engineer,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,6,Senior-Level
AI Engineer,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,6,Senior-Level
AI Engineer,Senior-Level,5–9 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,5,Senior-Level
AI Engineer,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,5,Senior-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models exposure; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP introduction; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Collaboration; Creativity; Problem-solving; Communication,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT model basics; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Teamwork; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Introductory NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT intro; TensorFlow basics; PyTorch basics; Communication; Teamwork; Problem-solving; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Communication; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT basics; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,0,Entry-Level
AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Creativity; Communication,0,Entry-Level
AI Prompt Engineer,Experienced,3+,"Advanced Python; JavaScript advanced; Deep NLP expertise; Hugging Face Transformers; TensorFlow; PyTorch; Advanced prompt design (chain-of-thought, iterative optimization); OpenAI API; Azure Cognitive Services; Machine learning for prompt tuning; Data analysis; Collaboration; Problem-solving; Leadership; Creativity",3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python advanced; JavaScript; NLP frameworks; Hugging Face Transformers; PyTorch; TensorFlow; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Machine learning analysis; Data visualization; Leadership; Problem-solving; Collaboration,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt design; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Critical thinking; Communication; Creativity,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Advanced Python; JavaScript; NLP techniques; TensorFlow; PyTorch; Hugging Face; Prompt iterative optimization; Chain-of-thought prompting; API integration (OpenAI/Azure); Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt optimization techniques; Chain-of-thought prompts; LLM tuning; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Problem-solving; Collaboration; Creativity,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python; JavaScript; Advanced NLP; TensorFlow; PyTorch; Hugging Face; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face Transformers; TensorFlow; PyTorch; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Problem-solving; Creativity; Critical thinking,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face; PyTorch; TensorFlow; Prompt design optimization; Chain-of-thought prompting; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; TensorFlow; PyTorch; Prompt optimization techniques; Chain-of-thought prompts; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,3,Mid-Level
AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,3,Mid-Level
Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; REST APIs; SQLite; UI/UX Basics; Git; MVC,0,Entry-Level
Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; Git; REST API; SQLite; UI/UX Design,0,Entry-Level
Android App Developer,Fresher,0,Kotlin; Java; Android Studio; UI/UX Basics; SQLite; MVC; REST APIs; Git,0,Entry-Level
Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; Material Design; SQLite; REST API; Git,0,Entry-Level
Android Developer,Fresher,0,Kotlin; Java; Android Studio; XML; UI/UX Basics; Git; SQLite; REST API,0,Entry-Level
Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; UI/UX Design; SQLite; REST API; Git,0,Entry-Level
Android App Developer,Fresher,0,Kotlin; Java; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git,0,Entry-Level
Android Engineer,Fresher,0,Java; Kotlin; Android Studio; XML; SQLite; UI/UX Basics; Git; REST APIs,0,Entry-Level
Android Developer,Fresher,0,Kotlin; Java; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git,0,Entry-Level
Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git,0,Entry-Level
Android Developer,Experienced,2-3 years,Java; Kotlin; Android Studio; Jetpack; MVVM; Room; REST APIs; Git; Firebase; Unit Testing,2,Entry-Level
Android Developer,Experienced,3-4 years,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Dagger; Room; REST APIs; Firebase; Unit Testing; CI/CD,3,Mid-Level
Android Engineer,Experienced,4-5 years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Room; Firebase; Dagger; Performance Optimization; CI/CD,4,Mid-Level
Android Solutions Engineer,Experienced,3-5 years,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Jetpack; Room; REST APIs; Firebase; CI/CD; Unit Testing,3,Mid-Level
Android Developer,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing,5,Senior-Level
Android Developer,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing,5,Senior-Level
Android Engineer,Experienced,4-6 years,Java; Kotlin; Android Studio; MVVM; Jetpack; Clean Architecture; Firebase; Dagger; Room; CI/CD; Unit Testing,4,Mid-Level
Android Architect,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization,5,Senior-Level
Android Solutions Architect,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization,5,Senior-Level
Android Engineer,Experienced,5+ years,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization,5,Senior-Level
AR/VR Developer,Fresher,0-1,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender basics; Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Communication; Teamwork; Problem-solving,0,Entry-Level
AR/VR Developer,Fresher,0-1,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; 3D modeling fundamentals; Blender basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Teamwork; Problem-solving; Communication,0,Entry-Level
AR/VR Developer,Fresher,0-1,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender/Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Problem-solving; Teamwork; Communication; Creativity,0,Entry-Level
AR/VR Developer,Fresher,0-1,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender basics; Maya basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Problem-solving; Teamwork; Creativity,0,Entry-Level
AR/VR Developer,Fresher,0-1,C++ basics; C# basics; JavaScript basics; Unity basics; Unreal Engine basics; ARKit basics; ARCore basics; Blender/Maya basics; 3D modeling basics; UI/UX fundamentals; Spatial computing basics; Motion tracking basics; Teamwork; Communication; Problem-solving,0,Entry-Level
AR/VR Developer,Experienced,3+,C++ advanced; C# advanced; JavaScript advanced; Python basics; Unity advanced; Unreal Engine advanced; ARKit advanced; ARCore advanced; Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Performance optimization; Cross-platform development; Leadership,3,Mid-Level
AR/VR Developer,Experienced,4+,C++ advanced; C# advanced; JavaScript advanced; Python basics; Unity advanced; Unreal Engine advanced; ARKit advanced; ARCore advanced; Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Hardware integration; Performance optimization; Leadership,4,Mid-Level
AR/VR Developer,Experienced,5+,"C++, C# advanced; JavaScript advanced; Python basics; Unity, Unreal Engine advanced; ARKit, ARCore, Vuforia; 3D modeling/animation advanced; UI/UX design advanced; Spatial computing; Gesture and motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project management; Collaboration",5,Senior-Level
AR/VR Developer,Experienced,6+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX design expert; Spatial computing; Gesture/motion tracking; Cross-platform deployment; Performance optimization; Machine learning basics; Leadership; Team collaboration; Project management",6,Senior-Level
AR/VR Developer,Experienced,7+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D graphics; UI/UX expert; Spatial computing; Gesture/motion tracking; Hardware integration; Performance optimization; Machine learning basics; Leadership; Project management; Collaboration",7,Senior-Level
AR/VR Developer,Experienced,8+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling and graphics; UI/UX advanced; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Team management; Project coordination",8,Senior-Level
AR/VR Developer,Experienced,9+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX advanced; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project management; Collaboration",9,Senior-Level
AR/VR Developer,Experienced,10+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project coordination; Team collaboration",10,Senior-Level
AR/VR Developer,Experienced,11+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform optimization; Performance tuning; Machine learning basics; Leadership; Team management; Project management",11,Senior-Level
AR/VR Developer,Experienced,12+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling and animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance optimization; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration",12,Senior-Level
AR/VR Developer,Experienced,13+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project coordination; Team collaboration",13,Senior-Level
AR/VR Developer,Experienced,14+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration",14,Senior-Level
AR/VR Developer,Experienced,15+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling and animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project management; Team collaboration",15,Senior-Level
AR/VR Developer,Experienced,16+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; 3D modeling/animation expert; UI/UX expert; Spatial computing; Gesture/motion tracking; Cross-platform development; Performance optimization; Machine learning basics; Leadership; Project coordination; Team collaboration",16,Senior-Level
AR/VR Developer,Experienced,17+,"C++, C# expert; JavaScript advanced; Python basics; Unity, Unreal Engine expert; ARKit, ARCore, Vuforia; Advanced 3D modeling/animation; UI/UX expert; Spatial computing; Gesture/motion tracking; Performance tuning; Cross-platform development; Machine learning basics; Leadership; Project management; Team collaboration",17,Senior-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL basics; Git,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; RESTful API; Git; Docker; CI/CD basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; RESTful API; Git; Cloud Basics; GraphQL basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Docker; Cloud Basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; RESTful API; GraphQL basics; Git; Agile,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; RESTful API; Git; Docker; CI/CD basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; RESTful API; Git; Docker; Cloud Basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Agile; Docker,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Express.js; Flask; Django; MySQL; PostgreSQL; MongoDB; RESTful API; GraphQL basics; Git; Docker; Cloud Basics,0,Entry-Level
Backend Developer,Fresher,0–1 year,Node.js; Python; Java; Express.js; Django; Flask; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; Git; Agile,0,Entry-Level
Backend Developer,Experienced,3–5 years,Node.js; Python; Java; Go; Express.js; Django; Flask; Spring Boot; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; Cloud Platforms; Agile,3,Mid-Level
Backend Developer,Experienced,4–6 years,Java; Go; Node.js; Spring Boot; Express.js; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Agile,4,Mid-Level
Backend Developer,Experienced,5+ years,Python; Node.js; Django; Flask; Express.js; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Agile; HIPAA compliance,5,Senior-Level
Backend Developer,Experienced,5+ years,Node.js; Python; Java; Express.js; Django; Flask; Spring Boot; MySQL; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Agile,5,Senior-Level
Backend Developer,Experienced,4–6 years,Python; Node.js; Go; Django; Flask; Express.js; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Cloud; Microservices,4,Mid-Level
Backend Developer,Experienced,5+ years,Node.js; Java; Python; Express.js; Spring Boot; Django; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Agile; Microservices,5,Senior-Level
Backend Developer,Experienced,4–6 years,Python; Node.js; Java; Django; Flask; Express.js; Spring Boot; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Microservices; Cloud; Agile,4,Mid-Level
Backend Developer,Experienced,5+ years,Java; Go; Python; Spring Boot; Express.js; Django; PostgreSQL; MySQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; GCP; Agile; Microservices; Security,5,Senior-Level
Backend Developer,Experienced,6+ years,Node.js; Python; Java; Express.js; Django; Spring Boot; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; Cloud; Agile; Microservices; Security,6,Senior-Level
Backend Developer,Experienced,5+ years,Node.js; Python; Go; Express.js; Django; Flask; PostgreSQL; MongoDB; Redis; RESTful API; GraphQL; gRPC; Git; Docker; Kubernetes; CI/CD; AWS; Azure; GCP; Microservices; Security,5,Senior-Level
Big Data Specialist,Fresher,0-1,"Hadoop (HDFS, MapReduce, Hive, Pig); Apache Spark basics; Java basics; Python basics; Scala basics; SQL basics; NoSQL basics (MongoDB, HBase); ETL concepts; Talend basics; Apache NiFi basics; Linux/Unix basics; Analytical thinking; Problem-solving; Teamwork",0,Entry-Level
Big Data Specialist,Fresher,0-1,Hadoop basics; Apache Spark basics; Java basics; Python basics; Scala basics; SQL basics; NoSQL basics; ETL basics; Talend; Apache NiFi; Linux/Unix basics; Analytical thinking; Curiosity; Teamwork,0,Entry-Level
